Order_Id,Product_Id,Quantity,Discount_Percent
1,FUR-BO-10001798,2,2
2,FUR-CH-10000454,3,3
3,OFF-LA-10000240,2,5
4,FUR-TA-10000577,5,2
5,OFF-ST-10000760,2,5
6,FUR-FU-10001487,7,3
7,OFF-AR-10002833,4,3
8,TEC-PH-10002275,6,5
9,OFF-BI-10003910,3,2
10,OFF-AP-10002892,5,3
11,FUR-TA-10001539,9,3
12,TEC-PH-10002033,4,3
13,OFF-PA-10002365,3,3
14,OFF-BI-10003656,3,2
15,OFF-AP-10002311,5,5
16,OFF-BI-10000756,3,5
17,OFF-ST-10004186,6,3
18,OFF-ST-10000107,2,4
19,OFF-AR-10003056,2,4
20,TEC-PH-10001949,3,3
21,OFF-BI-10002215,4,2
22,OFF-AR-10000246,7,4
23,OFF-AP-10001492,7,3
24,FUR-CH-10002774,2,4
25,FUR-TA-10000577,3,5
26,OFF-BI-10001634,2,5
27,TEC-AC-10003027,3,3
28,FUR-BO-10004834,7,3
29,OFF-BI-10000474,2,5
30,FUR-FU-10004848,3,4
31,OFF-EN-10001509,2,5
32,OFF-AR-10004042,6,4
33,OFF-BI-10001525,6,5
34,OFF-AR-10001683,2,4
35,OFF-PA-10000249,3,3
36,TEC-PH-10004977,7,5
37,FUR-FU-10003664,5,4
38,OFF-EN-10002986,9,2
39,FUR-BO-10002545,3,2
40,FUR-CH-10004218,3,2
41,TEC-PH-10000486,4,5
42,TEC-PH-10004093,4,3
43,OFF-ST-10003479,2,5
44,OFF-ST-10003282,2,4
45,TEC-AC-10000171,2,2
46,OFF-BI-10003291,2,5
47,OFF-ST-10001713,4,4
48,TEC-AC-10002167,3,5
49,TEC-PH-10003988,2,4
50,OFF-BI-10004410,6,4
51,OFF-LA-10002762,6,4
52,FUR-FU-10001706,2,4
53,FUR-CH-10003061,1,5
54,OFF-FA-10000304,7,3
55,TEC-PH-10002447,5,4
56,OFF-ST-10000604,6,5
57,OFF-PA-10001569,5,5
58,FUR-CH-10003968,5,2
59,OFF-PA-10000587,2,4
60,TEC-AC-10002167,2,5
61,OFF-BI-10001460,4,2
62,OFF-AR-10001868,1,5
63,TEC-AC-10004633,2,3
64,OFF-BI-10001078,6,2
65,OFF-PA-10003892,3,5
66,FUR-FU-10000397,4,2
67,FUR-CH-10001146,5,5
68,OFF-AR-10002671,8,3
69,TEC-PH-10002726,4,3
70,OFF-PA-10000482,2,2
71,OFF-BI-10004654,1,3
72,OFF-PA-10004675,3,3
73,FUR-CH-10000513,8,2
74,FUR-FU-10003708,2,3
75,OFF-ST-10004123,1,2
76,OFF-BI-10004182,3,4
77,FUR-FU-10000260,3,4
78,OFF-ST-10000615,3,2
79,FUR-FU-10003194,5,2
80,OFF-AP-10002118,1,3
81,OFF-BI-10002309,3,2
82,OFF-AR-10002053,5,5
83,OFF-ST-10002370,1,4
84,OFF-EN-10000927,7,3
85,OFF-ST-10003656,3,2
86,FUR-CH-10000863,2,5
87,TEC-AC-10001998,1,5
88,OFF-LA-10000134,2,5
89,OFF-ST-10003442,7,5
90,OFF-AR-10004930,3,2
91,TEC-PH-10004093,2,2
92,OFF-PA-10000304,1,2
93,OFF-PA-10003177,2,2
94,FUR-FU-10003799,3,5
95,OFF-BI-10002852,2,3
96,OFF-BI-10004738,1,2
97,FUR-FU-10000629,7,5
98,OFF-BI-10001721,3,4
99,OFF-AP-10000358,6,3
100,OFF-PA-10003256,7,3
101,TEC-AC-10001767,3,5
102,OFF-BI-10002609,3,3
103,OFF-PA-10004040,4,4
104,TEC-AC-10001552,6,3
105,FUR-FU-10004006,3,5
106,OFF-BI-10002794,3,5
107,TEC-AC-10003499,8,5
108,TEC-PH-10002844,1,3
109,OFF-AR-10000390,1,3
110,TEC-AC-10000844,5,2
111,FUR-FU-10001934,2,2
112,OFF-AR-10000380,2,3
113,OFF-BI-10003981,6,3
114,OFF-FA-10000621,14,2
115,OFF-EN-10002600,2,4
116,OFF-PA-10004965,3,4
117,OFF-EN-10002504,6,5
118,FUR-TA-10001768,3,4
119,OFF-BI-10003650,1,5
120,FUR-FU-10002157,3,3
121,OFF-BI-10003910,4,2
122,OFF-ST-10000777,6,2
123,OFF-EN-10002500,9,4
124,TEC-PH-10003875,7,2
125,FUR-CH-10004063,3,3
126,FUR-TA-10004534,6,4
127,OFF-BI-10003274,2,4
128,OFF-ST-10002974,7,4
129,FUR-CH-10001146,2,2
130,FUR-FU-10003773,3,4
131,TEC-PH-10002293,5,3
132,OFF-PA-10002377,2,4
133,OFF-FA-10002780,9,5
134,OFF-PA-10001804,3,4
135,OFF-PA-10001736,1,5
136,OFF-AR-10001149,4,5
137,OFF-FA-10002988,2,5
138,OFF-BI-10004781,3,2
139,OFF-SU-10001218,6,5
140,FUR-FU-10001706,14,2
141,FUR-FU-10004848,2,2
142,OFF-AR-10000940,3,3
143,OFF-EN-10004030,3,2
144,OFF-PA-10004327,3,5
145,OFF-AP-10001058,3,2
146,OFF-ST-10003656,7,3
147,FUR-FU-10000521,4,4
148,TEC-PH-10000215,11,4
149,TEC-PH-10001448,3,5
150,FUR-CH-10000454,8,3
151,OFF-BI-10002735,5,4
152,OFF-AP-10000326,5,5
153,TEC-PH-10001254,2,2
154,OFF-PA-10001950,7,4
155,OFF-PA-10002254,4,4
156,OFF-ST-10001590,6,4
157,OFF-AR-10001547,3,3
158,FUR-CH-10004063,2,2
159,OFF-LA-10002475,2,3
160,TEC-PH-10004536,7,5
161,OFF-PA-10002751,1,4
162,TEC-AC-10003657,2,5
163,OFF-EN-10001990,5,4
164,OFF-BI-10004002,2,3
165,OFF-AR-10004441,3,5
166,TEC-MA-10000822,8,4
167,OFF-ST-10000991,3,4
168,FUR-CH-10004287,9,4
169,OFF-AR-10002656,6,4
170,OFF-AP-10002518,5,2
171,TEC-PH-10003931,3,5
172,OFF-PA-10000659,3,2
173,OFF-PA-10001144,2,4
174,FUR-CH-10003817,7,2
175,OFF-AP-10000891,2,4
176,OFF-LA-10003148,4,5
177,OFF-AP-10002684,4,2
178,FUR-CH-10004698,7,5
179,OFF-SU-10002189,5,3
180,OFF-AR-10001940,1,5
181,OFF-ST-10003455,2,5
182,TEC-AC-10004659,7,3
183,TEC-PH-10003273,4,5
184,TEC-PH-10004896,5,2
185,TEC-AC-10002345,2,5
186,OFF-BI-10001890,2,2
187,TEC-AC-10002323,8,3
188,OFF-ST-10001328,3,4
189,OFF-PA-10001950,3,3
190,FUR-BO-10002613,4,3
191,TEC-PH-10001552,6,4
192,OFF-PA-10000061,8,5
193,FUR-BO-10002545,3,2
194,OFF-AR-10003514,5,3
195,OFF-EN-10001509,7,2
196,OFF-AR-10004685,2,5
197,OFF-AR-10004027,3,2
198,OFF-ST-10001414,3,5
199,OFF-BI-10000343,2,5
200,OFF-PA-10002749,3,2
201,OFF-PA-10002666,3,5
202,FUR-TA-10004289,2,3
203,OFF-AP-10003622,1,5
204,OFF-AP-10003217,2,2
205,FUR-FU-10002960,7,3
206,TEC-PH-10001918,4,3
207,OFF-ST-10000642,4,4
208,TEC-PH-10001700,2,3
209,OFF-BI-10003274,4,3
210,OFF-FA-10000134,9,2
211,OFF-ST-10001522,1,5
212,TEC-AC-10001266,2,4
213,OFF-LA-10004544,2,4
214,FUR-BO-10004695,5,5
215,TEC-PH-10002844,3,3
216,TEC-MA-10000864,9,4
217,TEC-AC-10000109,2,5
218,OFF-ST-10001328,6,3
219,TEC-PH-10002563,3,4
220,OFF-FA-10000585,2,2
221,OFF-PA-10004000,6,4
222,OFF-BI-10002852,4,3
223,FUR-FU-10000087,4,3
224,TEC-MA-10001148,4,4
225,OFF-AR-10001958,2,4
226,OFF-AR-10001026,1,2
227,FUR-TA-10003748,5,2
228,OFF-ST-10002485,1,3
229,FUR-CH-10004860,2,2
230,FUR-CH-10004477,8,2
231,OFF-BI-10001679,7,5
232,FUR-TA-10001705,2,4
233,FUR-TA-10003473,3,4
234,OFF-BI-10001679,2,2
235,FUR-FU-10004017,3,5
236,TEC-AC-10003832,3,4
237,OFF-PA-10002479,2,4
238,OFF-PA-10003349,5,4
239,FUR-FU-10000576,5,2
240,FUR-FU-10004351,3,2
241,TEC-PH-10000011,2,3
242,FUR-TA-10002607,5,3
243,FUR-FU-10002505,3,4
244,OFF-AR-10004685,2,3
245,FUR-CH-10004063,7,2
246,OFF-ST-10002276,2,4
247,OFF-PA-10004082,6,5
248,OFF-AP-10002945,5,5
249,OFF-PA-10000061,4,3
250,FUR-CH-10002965,2,5
251,OFF-PA-10004569,1,3
252,TEC-AC-10003832,13,4
253,OFF-ST-10001228,6,5
254,OFF-EN-10003296,4,4
255,FUR-FU-10002505,9,2
256,OFF-ST-10004804,2,2
257,OFF-ST-10001590,5,2
258,TEC-PH-10001580,6,4
259,TEC-AC-10000290,3,5
260,OFF-ST-10002790,3,4
261,OFF-BI-10003460,5,5
262,OFF-AP-10002203,2,2
263,TEC-MA-10000822,3,3
264,TEC-MA-10003353,7,3
265,TEC-PH-10001433,4,3
266,TEC-AC-10004469,2,4
267,OFF-AR-10003602,3,5
268,OFF-FA-10003472,6,2
269,OFF-ST-10004180,1,3
270,OFF-EN-10004386,3,3
271,OFF-ST-10003208,4,2
272,TEC-AC-10003628,7,5
273,FUR-FU-10003274,3,4
274,OFF-BI-10002557,3,4
275,OFF-PA-10002615,2,3
276,OFF-AR-10001427,1,2
277,OFF-PA-10000673,2,4
278,OFF-PA-10004470,4,2
279,OFF-ST-10000876,6,2
280,OFF-LA-10002043,3,5
281,OFF-BI-10004967,5,3
282,TEC-PH-10001760,7,3
283,FUR-TA-10002903,5,5
284,OFF-PA-10000474,5,5
285,TEC-AC-10001956,5,5
286,OFF-PA-10004100,6,5
287,OFF-BI-10000778,7,3
288,OFF-AP-10002684,2,2
289,OFF-SU-10000646,5,5
290,OFF-FA-10002983,7,5
291,OFF-LA-10004689,8,3
292,TEC-AC-10002001,2,2
293,FUR-BO-10004709,3,4
294,FUR-FU-10004091,8,5
